category,stt,productId,productCode,productName,gender,color,price,size,s,m,l,feature,part,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,3,10661725,P818LSL01,Áo UV có nón,women,Navy,2808,Vòng cổ tay,20,20.5,21,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/59a6f0525b970a0c980fb1c86ad520a6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,3,10661725,P818LSL01,Áo UV có nón,women,Navy,2808,Dài tay,60.9,62.1,64.1,"Có thể kết hợp với đồ bơi như áo khoác chống nắng, mang lại cảm giác thoáng mát, ngay cả khi xuống tắm biển",Matngang2,https://base-ec2if.akamaized.net/images/item/origin/d76f48503f13dbfe9cf2688d5db6f628.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,3,10661725,P818LSL01,Áo UV có nón,women,Navy,2808,Rộng vai,36.6,37.8,39,Kết cấu chất liệu vải mềm nhẹ nhàng mang lại cảm giác thoải mái khi mặc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,3,10661725,P818LSL01,Áo UV có nón,women,Navy,2808,Dài nón,37,37.5,38,"Thiết kế đơn giản có thể mặc khi đi ra ngoài, đi làm hoặc đi biển",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,3,10661725,P818LSL01,Áo UV có nón,women,Navy,2808,,,,,Chất liệu sợi hoạt tính Deodorant giúp khử mùi mồ hôi tốt hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,4,10661774,P818LSL01,Áo UV có nón,women,Hồng kẻ ngang,2808,Dài thân,60.9,63,65.1,Có tính năng chống tia UV UPF50+ mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/b875c114fb5a1267fbb888b0309890aa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,4,10661774,P818LSL01,Áo UV có nón,women,Hồng kẻ ngang,2808,Vòng ngực,89,92,95,Thích hợp khi đi ngoài trời hoặc khi đi biển,Matsau,https://base-ec2if.akamaized.net/images/item/origin/4ebed9e84b6bd6b171a6c0fd5b8f4683.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,4,10661774,P818LSL01,Áo UV có nón,women,Hồng kẻ ngang,2808,Vòng cổ tay,20,20.5,21,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/d50a4d79de4f3a0c8d1544f3044f3faf.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,4,10661774,P818LSL01,Áo UV có nón,women,Hồng kẻ ngang,2808,Dài tay,60.9,62.1,64.1,"Có thể kết hợp với đồ bơi như áo khoác chống nắng, mang lại cảm giác thoáng mát, ngay cả khi xuống tắm biển",Matngang2,https://base-ec2if.akamaized.net/images/item/origin/0cc3394bb78544df283a97336ade4025.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,4,10661774,P818LSL01,Áo UV có nón,women,Hồng kẻ ngang,2808,Rộng vai,36.6,37.8,39,Kết cấu chất liệu vải mềm nhẹ nhàng mang lại cảm giác thoải mái khi mặc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
