category,stt,productId,productCode,productName,gender,color,price,size,m,l,xl,feature,part,url,,,,
Áo khoác gió,2,10660674,P818WTM01,Áo chống gió,men,Navy,5292,,,,,"Chất liệu chống thấm nước cực tốt, có thể sử dụng như áo mưa khi gặp những cơn mưa nhỏ",,,,,,
Áo thun in hình ,1,10660763,P818TSM01,Áo in hình chuồn chuồn,men,Trắng,1404,Dài thân,66,68,70,Có tính năng chống tia UV mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/c0b5db6dc3c3ae2b8f527f550a221296.jpg,,,,
Áo thun in hình ,1,10660763,P818TSM01,Áo in hình chuồn chuồn,men,Trắng,1404,Vòng ngực,99,103,107,Sử dụng chất liệu sợi EVAPOS độc quyền của Peaks Eight,Matsau,https://base-ec2if.akamaized.net/images/item/origin/f2b4aed8201d505410bfa57ba15531b6.jpg,,,,
Áo thun in hình ,1,10660763,P818TSM01,Áo in hình chuồn chuồn,men,Trắng,1404,Vòng cổ tay,33.5,35,36.5,Thiết kế đặc trưng với mẫu logo in hình chuồn chuồn phía sau thân áo,Matngang1,,,,,
Áo thun in hình ,1,10660763,P818TSM01,Áo in hình chuồn chuồn,men,Trắng,1404,Dài tay,21.7,22.5,23.3,"Chất liệu thoáng mát tạo cảm giác thoải mái, dễ chịu khi mặc",Matngang2,,,,,
Áo thun in hình ,1,10660763,P818TSM01,Áo in hình chuồn chuồn,men,Trắng,1404,Rộng vai,43.6,45,46.4,Chất liệu sợi chỉ có tính năng khử mùi Deodorant hiệu quả,,,,,,
Áo thun in hình ,2,10660792,P818TSM01,Áo in hình chuồn chuồn,men,Navy,1404,Dài thân,66,68,70,Có tính năng chống tia UV mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/ae2f8322e3be75e1a1aa18faf2dadf53.jpg,,,,
Áo thun in hình ,2,10660792,P818TSM01,Áo in hình chuồn chuồn,men,Navy,1404,Vòng ngực,99,103,107,Sử dụng chất liệu sợi EVAPOS độc quyền của Peaks Eight,Matsau,https://base-ec2if.akamaized.net/images/item/origin/f216fbb63a3b71f3b5c01d9fc65232d5.jpg,,,,
Áo thun in hình ,2,10660792,P818TSM01,Áo in hình chuồn chuồn,men,Navy,1404,Vòng cổ tay,33.5,35,36.5,Thiết kế đặc trưng với mẫu logo in hình chuồn chuồn phía sau thân áo,Matngang1,,,,,
Áo thun in hình ,2,10660792,P818TSM01,Áo in hình chuồn chuồn,men,Navy,1404,Dài tay,21.7,22.5,23.3,"Chất liệu thoáng mát tạo cảm giác thoải mái, dễ chịu khi mặc",Matngang2,,,,,
Áo thun in hình ,2,10660792,P818TSM01,Áo in hình chuồn chuồn,men,Navy,1404,Rộng vai,43.6,45,46.4,Chất liệu sợi chỉ có tính năng khử mùi Deodorant hiệu quả,,,,,,
Quần dài,1,10661053,P818PTM01,Quần co dãn,men,Olive,5292,Dài quần từ eo,97,101,105,"Có tính năng co giãn, sử dụng chất liệu nhẹ, thoáng mát ",Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/07ba182542474b8325afdf845ebaacd2.jpg,,,,
Quần dài,1,10661053,P818PTM01,Quần co dãn,men,Olive,5292,Vòng eo,76,80,84,Sử dụng chất liệu sợi SUPER EVAPOS HERRING BONE độc quyền của Peaks Eight,Matsau,https://base-ec2if.akamaized.net/images/item/origin/b7c9f7bf648118d0095a46b04a131659.jpg,,,,
Quần dài,1,10661053,P818PTM01,Quần co dãn,men,Olive,5292,Vòng ống,40.2,41,41.8,Có thể mặc như đồ thường ngày hoặc xuống phố,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/f99cec17b1db8108c9740856882cb17f.jpg,,,,
Quần dài,1,10661053,P818PTM01,Quần co dãn,men,Olive,5292,Dài từ đáy,78,81,84,Tính năng linh hoạt thông thoáng khí giúp thoát nhiệt nhanh khi vận động nhiều đặc biệt là ở phần đùi,Matngang2,,,,,
Quần dài,1,10661053,P818PTM01,Quần co dãn,men,Olive,5292,Vòng hông,103,107,111,Có đính kèm túi có thể sử dụng như túi đựng điện thoại,,,,,,
Quần dài,1,10661053,P818PTM01,Quần co dãn,men,Olive,5292,,,,,"Phần nếp gấp ống quần có in hình logo phát sáng, dễ dành nhận thấy an toàn khi đi bộ vào ban đêm ",,,,,,
Quần dài,2,10660984,P818PTM01,Quần co dãn,men,Đen,5292,Dài quần từ eo,97,101,105,"Có tính năng co giãn, sử dụng chất liệu nhẹ, thoáng mát ",Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/76cc969311e222ea198d8e1603e11353.jpg,,,,
Quần dài,2,10660984,P818PTM01,Quần co dãn,men,Đen,5292,Vòng eo,76,80,84,Sử dụng chất liệu sợi SUPER EVAPOS HERRING BONE độc quyền của Peaks Eight,Matsau,https://base-ec2if.akamaized.net/images/item/origin/1d2591a08275729ed7e531fa308ccfda.jpg,,,,
Quần dài,2,10660984,P818PTM01,Quần co dãn,men,Đen,5292,Vòng ống,40.2,41,41.8,Có thể mặc như đồ thường ngày hoặc xuống phố,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/0ba2ea748e58d2993c82249c9a840d26.jpg,,,,
Quần dài,2,10660984,P818PTM01,Quần co dãn,men,Đen,5292,Dài từ đáy,78,81,84,Tính năng linh hoạt thông thoáng khí giúp thoát nhiệt nhanh khi vận động nhiều đặc biệt là ở phần đùi,Matngang2,,,,,
Quần dài,2,10660984,P818PTM01,Quần co dãn,men,Đen,5292,Vòng hông,103,107,111,Có đính kèm túi có thể sử dụng như túi đựng điện thoại,,,,,,
Quần dài,2,10660984,P818PTM01,Quần co dãn,men,Đen,5292,,,,,"Phần nếp gấp ống quần có in hình logo phát sáng, dễ dành nhận thấy an toàn khi đi bộ vào ban đêm ",,,,,,
Quần dài,3,10661072,P818PTM01,Quần co dãn,men,Xám,5292,Dài quần từ eo,97,101,105,"Có tính năng co giãn, sử dụng chất liệu nhẹ, thoáng mát ",Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/4ef1a283f0897604bb72bc8c2edf6b18.jpg,,,,
Quần dài,3,10661072,P818PTM01,Quần co dãn,men,Xám,5292,Vòng eo,76,80,84,Sử dụng chất liệu sợi SUPER EVAPOS HERRING BONE độc quyền của Peaks Eight,Matsau,https://base-ec2if.akamaized.net/images/item/origin/6102602ea05ae60e790ac41c4dc8ac39.jpg,,,,
Quần dài,3,10661072,P818PTM01,Quần co dãn,men,Xám,5292,Vòng ống,40.2,41,41.8,Có thể mặc như đồ thường ngày hoặc xuống phố,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/cec39a0cbbae3f6e20267e59c731a5f9.jpg,,,,
Quần dài,3,10661072,P818PTM01,Quần co dãn,men,Xám,5292,Dài từ đáy,78,81,84,Tính năng linh hoạt thông thoáng khí giúp thoát nhiệt nhanh khi vận động nhiều đặc biệt là ở phần đùi,Matngang2,,,,,
Quần dài,3,10661072,P818PTM01,Quần co dãn,men,Xám,5292,Vòng hông,103,107,111,Có đính kèm túi có thể sử dụng như túi đựng điện thoại,,,,,,
Quần dài,3,10661072,P818PTM01,Quần co dãn,men,Xám,5292,,,,,"Phần nếp gấp ống quần có in hình logo phát sáng, dễ dành nhận thấy an toàn khi đi bộ vào ban đêm ",,,,,,
